,id,apelido,ult_pontuacao,scout,posicao,clube,status,em_casa
285,82647,Régis,0.0,"{'FD': 1, 'FF': 1, 'FS': 2, 'PE': 1, 'RB': 2}",mei,COR,Nulo,0
286,99802,Richard Franco,2.1,"{'FC': 28, 'FD': 4, 'FF': 14, 'FS': 18, 'G': 1, 'I': 1, 'PE': 37, 'RB': 30}",mei,AVA,Provável,1
287,82730,Marcelo Rangel,0.0,"{'DD': 6, 'FS': 1, 'GS': 3}",gol,GOI,Nulo,1
288,82767,Vinícius Araújo,1.0,"{'FC': 2, 'FD': 2, 'FS': 1, 'I': 3, 'PE': 4, 'RB': 1}",ata,AVA,Provável,1
289,82653,Victor Rangel,0.0,"{'CA': 2, 'FC': 13, 'FD': 1, 'FF': 2, 'FS': 17, 'I': 1, 'PE': 10, 'RB': 2}",ata,BOT,Nulo,0
290,99881,Ricardo,0.0,"{'CA': 2, 'FC': 10, 'FD': 1, 'FF': 4, 'FS': 8, 'G': 1, 'PE': 22, 'RB': 20, 'SG': 2}",zag,VAS,Nulo,1
291,99900,Luan Pereira,0.0,"{'A': 1, 'CA': 4, 'FC': 7, 'FD': 1, 'FF': 2, 'FS': 10, 'PE': 12, 'RB': 8}",mei,AVA,Nulo,1
292,99891,Chará,0.0,"{'A': 1, 'FC': 9, 'FD': 11, 'FF': 12, 'FS': 25, 'FT': 1, 'G': 3, 'I': 4, 'PE': 49, 'RB': 20}",ata,ATL,Contundido,0
293,88225,Daniel Guedes ,0.0,"{'CA': 2, 'FC': 23, 'FD': 1, 'FF': 2, 'FS': 7, 'I': 2, 'PE': 35, 'RB': 22, 'SG': 4}",lat,GOI,Suspenso,1
294,85465,Alex Santana,0.0,"{'CA': 2, 'FC': 11, 'FD': 6, 'FF': 13, 'FS': 21, 'FT': 1, 'G': 5, 'PE': 19, 'RB': 11}",mei,BOT,Contundido,0
295,85626,Léo,0.0,"{'CA': 1, 'FC': 1, 'RB': 1}",lat,SAO,Nulo,0
296,85931,Hyoran,0.0,"{'A': 1, 'FC': 6, 'FD': 3, 'FF': 5, 'FS': 5, 'FT': 1, 'PE': 6, 'RB': 5}",mei,PAL,Nulo,1
297,82787,Joel,0.0,{},ata,CRU,Nulo,1
298,99903,Lucas Campos,0.0,"{'CA': 1, 'FC': 7, 'FD': 1, 'FF': 3, 'FS': 8, 'PE': 6, 'RB': 8}",ata,BOT,Nulo,0
299,82930,Cristovam,0.0,"{'CA': 2, 'FC': 7, 'FF': 1, 'FS': 6, 'PE': 11, 'RB': 8}",lat,CEA,Nulo,0
300,82880,Daniel Amorim,0.0,"{'CA': 1, 'FC': 6, 'FD': 3, 'FF': 5, 'FS': 9, 'G': 1, 'I': 2, 'PE': 6}",ata,AVA,Contundido,1
301,89815,Gustavo Ferrareis,0.0,"{'CA': 2, 'CV': 1, 'FC': 8, 'FD': 4, 'FF': 11, 'FS': 10, 'I': 1, 'PE': 20, 'RB': 5}",mei,AVA,Nulo,1
302,82943,Matheus Ribeiro,0.0,{},lat,SAN,Nulo,1
303,99918,Patrick,0.0,"{'FC': 1, 'FD': 3, 'FF': 1, 'FS': 11, 'G': 1, 'PE': 6, 'RB': 4}",mei,GRE,Nulo,1
304,83004,Otero,0.0,"{'CA': 1, 'FC': 12, 'FD': 11, 'FF': 12, 'FS': 24, 'G': 1, 'PE': 13, 'RB': 2}",mei,ATL,Dúvida,0
305,86116,Mosquera,-0.6,"{'CA': 2, 'FC': 8, 'FF': 3, 'FS': 13, 'PE': 12, 'RB': 8}",mei,AVA,Nulo,1
306,99915,Ezequiel,0.0,"{'FC': 2, 'FD': 1, 'FF': 1, 'FS': 5, 'FT': 1, 'PE': 4, 'RB': 3}",ata,CRU,Nulo,1
307,86120,Borja,0.0,"{'A': 1, 'CA': 1, 'FC': 5, 'FD': 3, 'FF': 1, 'FS': 6, 'I': 1, 'PE': 3, 'RB': 1}",ata,PAL,Nulo,1
308,100002,Rickson,0.0,"{'FC': 1, 'FF': 1, 'FS': 6, 'PE': 3, 'RB': 2}",mei,BOT,Nulo,0
309,83199,Lucão,0.0,{'PE': 1},ata,FLU,Nulo,0
310,100065,Lincoln,0.0,"{'CA': 1, 'FC': 3, 'FD': 4, 'FF': 3, 'FS': 8, 'G': 1, 'I': 1, 'PE': 8, 'RB': 2}",ata,FLA,Contundido,0
311,83257,Gabriel,0.0,"{'A': 3, 'CA': 6, 'FC': 14, 'FD': 18, 'FF': 22, 'FS': 16, 'G': 18, 'I': 11, 'PE': 35, 'RB': 5}",ata,FLA,Provável,0
312,83263,Yuri,0.0,{},mei,BAH,Nulo,0
313,100290,Lucas Venuto,0.0,"{'FC': 2, 'FF': 1, 'PE': 1}",ata,SAN,Nulo,1
314,100084,Igor Gomes,1.3,"{'CA': 2, 'FC': 11, 'FD': 3, 'FF': 4, 'FS': 12, 'G': 1, 'PE': 14, 'RB': 4}",mei,SAO,Nulo,0
315,100103,Pedrinho,0.0,"{'FC': 3, 'FD': 1, 'FF': 2, 'FS': 1, 'PE': 1}",ata,ATL,Nulo,0
316,100289,Felipe Pires,0.0,"{'A': 1, 'FC': 3, 'FD': 2, 'FF': 5, 'FS': 12, 'G': 1, 'I': 1, 'PE': 11, 'RB': 2}",ata,FOR,Nulo,1
317,100125,Thuler,2.5,"{'CA': 2, 'FC': 7, 'FS': 4, 'PE': 7, 'RB': 4, 'SG': 3}",zag,FLA,Nulo,0
318,83438,Guilherme Parede,-0.2,"{'A': 1, 'CA': 2, 'FC': 18, 'FD': 7, 'FF': 9, 'FS': 28, 'G': 1, 'I': 13, 'PE': 16, 'RB': 6}",ata,INT,Provável,0
319,83433,Patrick,0.7,"{'A': 1, 'CA': 2, 'FC': 21, 'FD': 2, 'FF': 5, 'FS': 24, 'G': 1, 'PE': 30, 'RB': 34}",mei,INT,Provável,0
320,83528,Léo Pereira,-0.6,"{'CA': 5, 'FC': 22, 'FD': 3, 'FF': 5, 'FS': 10, 'G': 1, 'I': 2, 'PE': 45, 'RB': 15, 'SG': 5}",zag,ATL,Provável,0
321,100430,Matheus Matias,0.0,"{'FC': 3, 'FF': 1, 'FS': 1}",ata,AVA,Nulo,1
322,100652,Yuri Alberto,0.0,{},ata,SAN,Nulo,1
323,100425,Bustamante,1.4,"{'A': 1, 'CA': 1, 'FC': 25, 'FD': 2, 'FF': 6, 'FS': 12, 'G': 1, 'I': 1, 'PE': 17, 'RB': 11}",ata,CSA,Provável,1
324,100712,Filipe,0.0,{},gol,COR,Nulo,0
325,88368,Gabriel Dias,-5.6,"{'CA': 4, 'CV': 1, 'FC': 25, 'FD': 4, 'FF': 4, 'FS': 27, 'I': 1, 'PE': 19, 'RB': 24}",mei,FOR,Suspenso,1
326,83681,Rafinha,0.0,"{'FC': 2, 'FS': 3, 'PE': 3, 'RB': 4}",lat,CSA,Nulo,1
327,100742,Matheus Henrique,0.0,"{'A': 1, 'CA': 4, 'FC': 19, 'FD': 2, 'FF': 1, 'FS': 14, 'PE': 28, 'RB': 16}",mei,GRE,Dúvida,1
328,83772,Neilton,1.6,"{'FC': 7, 'FD': 2, 'FF': 7, 'FS': 19, 'G': 1, 'I': 2, 'PE': 20, 'RB': 7}",ata,INT,Nulo,0
329,83817,Clayson,2.9,"{'A': 2, 'CA': 4, 'FC': 27, 'FD': 8, 'FF': 7, 'FS': 33, 'FT': 1, 'G': 3, 'I': 2, 'PE': 44, 'RB': 16}",ata,COR,Provável,0
330,100761,Liziero,5.4,"{'CA': 2, 'FC': 10, 'FD': 1, 'FF': 3, 'FS': 9, 'PE': 22, 'RB': 16}",mei,SAO,Provável,0
331,83869,Diego Tavares,0.0,{},lat,FOR,Nulo,1
332,100763,Gabriel Sara,-0.5,"{'FD': 1, 'I': 1, 'PE': 2}",mei,SAO,Nulo,0
333,84253,Jean Carlos,0.0,"{'CA': 1, 'FC': 1, 'PE': 1}",mei,GOI,Nulo,1
334,84381,Rafinha,0.0,"{'FC': 3, 'FD': 1, 'FF': 2, 'FS': 3, 'FT': 1, 'PE': 3, 'RB': 1}",mei,GOI,Nulo,1
335,84338,Max Walef,0.0,{},gol,FOR,Nulo,1
336,84339,Bruno Melo,0.0,"{'CV': 1, 'FC': 7, 'FF': 1, 'FS': 9, 'G': 1, 'I': 1, 'PE': 9, 'RB': 3, 'SG': 2}",lat,FOR,Nulo,1
337,100830,Brenno,0.0,{},gol,GRE,Nulo,1
338,84509,Valdo,0.0,"{'A': 1, 'CA': 3, 'FC': 19, 'FD': 3, 'FF': 1, 'FS': 14, 'PE': 20, 'RB': 26, 'SG': 4}",zag,CEA,Dúvida,0
339,84428,Fernando Sobral,0.0,"{'CA': 1, 'FC': 17, 'FD': 2, 'FF': 6, 'FS': 11, 'I': 1, 'PE': 23, 'RB': 22}",mei,CEA,Nulo,0
340,84382,Danilo Barcelos,0.0,"{'A': 1, 'CA': 1, 'CV': 1, 'FC': 26, 'FD': 5, 'FF': 7, 'FS': 8, 'FT': 1, 'G': 2, 'I': 1, 'PE': 41, 'RB': 20, 'SG': 3}",lat,VAS,Dúvida,1
341,84523,Romarinho,0.0,"{'A': 2, 'CA': 1, 'FC': 13, 'FD': 9, 'FF': 6, 'FS': 44, 'G': 1, 'I': 2, 'PE': 42, 'RB': 14}",ata,FOR,Nulo,1
342,84709,Nico López,2.0,"{'A': 3, 'CA': 5, 'FC': 23, 'FD': 10, 'FF': 17, 'FS': 11, 'FT': 2, 'G': 1, 'I': 10, 'PE': 41, 'RB': 21}",ata,INT,Provável,0
343,84554,Lucão,0.0,{},zag,GOI,Nulo,1
344,84847,Luan Peres ,7.7,"{'CA': 1, 'FC': 5, 'FF': 1, 'FS': 2, 'PE': 5, 'RB': 3, 'SG': 2}",zag,SAN,Nulo,1
345,100840,Emanuel,0.0,{},zag,GRE,Nulo,1
346,89101,Bruno Sávio,0.0,"{'FC': 2, 'FD': 1, 'FF': 2, 'FS': 1, 'PE': 6, 'RB': 4}",ata,AVA,Nulo,1
347,100842,Ruan,0.0,{},zag,GRE,Nulo,1
348,88427,Marlon,-0.8,"{'CA': 1, 'FC': 10, 'FS': 8, 'PE': 7, 'RB': 5}",mei,FOR,Nulo,1
349,88651,Vinícius Tanque,0.7,"{'FC': 8, 'FS': 5, 'I': 1, 'PE': 3}",ata,BOT,Nulo,0
350,86143,Wanderson,0.0,"{'CA': 1, 'FC': 2, 'FS': 1}",zag,BAH,Nulo,0
351,88669,Leandro Carvalho,0.0,"{'A': 1, 'CA': 3, 'FC': 14, 'FD': 10, 'FF': 13, 'FS': 27, 'G': 3, 'I': 2, 'PE': 38, 'RB': 17}",ata,CEA,Nulo,0
352,86380,Luanderson ,0.0,"{'FC': 3, 'FF': 1, 'FS': 5, 'PE': 1, 'RB': 3}",mei,AVA,Nulo,1
353,86264,Natanael,0.0,"{'CA': 2, 'FC': 8, 'FF': 1, 'FS': 4, 'GC': 1, 'PE': 15, 'RB': 9, 'SG': 2}",lat,INT,Contundido,0
354,89150,Jean,0.0,"{'FF': 2, 'PE': 1, 'RB': 1}",mei,BOT,Nulo,0
355,100843,Felipe,0.0,{},lat,GRE,Nulo,1
356,89226,Iago Maidana,0.0,"{'CA': 2, 'FC': 5, 'FF': 2, 'FS': 2, 'FT': 1, 'G': 1, 'PE': 9, 'RB': 6}",zag,ATL,Nulo,0
357,100846,Esteves,0.0,{},lat,PAL,Nulo,1
358,89492,Saulo,0.0,{},gol,BOT,Nulo,0
359,89256,Gerson,0.1,"{'A': 1, 'CA': 1, 'FC': 35, 'FD': 3, 'FF': 4, 'FS': 51, 'FT': 2, 'G': 1, 'PE': 40, 'RB': 28}",mei,FLA,Provável,0
360,89273,João Pedro ,-0.4,"{'CA': 1, 'FC': 4, 'FD': 1, 'PE': 3, 'RB': 2, 'SG': 1}",lat,BAH,Provável,0
361,89342,Caju,0.0,{},lat,SAN,Nulo,1
362,100963,Felippe Cardoso,0.0,"{'A': 1, 'CA': 2, 'FC': 39, 'FD': 9, 'FF': 9, 'FS': 17, 'FT': 1, 'G': 2, 'I': 10, 'PE': 11, 'RB': 7}",ata,CEA,Nulo,0
363,100987,Nonato,0.0,"{'A': 1, 'CA': 3, 'FC': 43, 'FD': 4, 'FF': 6, 'FS': 16, 'G': 3, 'I': 1, 'PE': 27, 'RB': 43}",mei,INT,Nulo,0
364,89493,Igor Rabello,1.2,"{'CV': 1, 'FC': 19, 'FD': 1, 'FF': 6, 'FS': 15, 'I': 1, 'PE': 27, 'RB': 30, 'SG': 3}",zag,ATL,Provável,0
365,90061,Bruno Pacheco,2.8,"{'A': 2, 'CA': 2, 'CV': 1, 'FC': 37, 'FF': 3, 'FS': 50, 'PE': 58, 'RB': 45, 'SG': 4}",lat,CHA,Provável,0
366,101040,Rony,0.0,{},zag,SAO,Nulo,0
367,89883,Dodi,0.0,"{'CA': 1, 'FS': 1, 'PE': 1, 'RB': 2}",mei,FLU,Nulo,0
368,90118,Yago Rocha,6.5,"{'CA': 1, 'CV': 1, 'FC': 10, 'FS': 8, 'PE': 16, 'RB': 8, 'SG': 4}",lat,GOI,Provável,1
369,90309,David,2.2,"{'A': 2, 'CA': 2, 'FC': 34, 'FD': 12, 'FF': 15, 'FS': 19, 'FT': 1, 'I': 9, 'PE': 32, 'RB': 11}",ata,CRU,Provável,1
370,101290,Ferreira,0.0,"{'A': 1, 'FC': 1, 'FF': 1, 'FS': 4, 'PE': 1, 'RB': 1}",ata,GRE,Nulo,1
371,90285,Bruno Henrique,14.7,"{'A': 2, 'CA': 6, 'FC': 38, 'FD': 21, 'FF': 27, 'FS': 46, 'FT': 3, 'G': 11, 'I': 8, 'PE': 35, 'RB': 16}",ata,FLA,Suspenso,0
372,101315,Sarrafiore,0.0,"{'CA': 3, 'FC': 12, 'FD': 2, 'FF': 7, 'FS': 7, 'G': 2, 'PE': 20, 'RB': 8}",mei,INT,Nulo,0
373,90302,Pedro Rocha,0.2,"{'A': 2, 'CA': 2, 'FC': 15, 'FD': 10, 'FF': 7, 'FS': 25, 'G': 2, 'I': 3, 'PE': 46, 'RB': 14}",ata,CRU,Nulo,1
374,90572,Léo Sena,0.0,"{'A': 1, 'CA': 5, 'CV': 1, 'FC': 19, 'FD': 1, 'FF': 6, 'FS': 79, 'PE': 50, 'RB': 53}",mei,GOI,Provável,1
375,90444,Moisés,0.0,"{'A': 2, 'CA': 4, 'CV': 1, 'FC': 38, 'FD': 4, 'FF': 10, 'FS': 10, 'I': 1, 'PE': 35, 'RB': 52, 'SG': 10}",lat,BAH,Contundido,0
376,90569,Yuri Lima,0.0,"{'CA': 6, 'FC': 24, 'FD': 1, 'FF': 2, 'FS': 7, 'PE': 20, 'RB': 21}",mei,FLU,Nulo,0
377,101316,Gustavo,0.0,{},zag,AVA,Nulo,1
378,84462,Bruno Alves,-2.4,"{'CA': 2, 'FC': 7, 'FD': 1, 'FF': 2, 'FS': 1, 'PE': 4}",ata,CSA,Dúvida,1
379,90715,Luiz Fernando ,1.0,"{'CA': 3, 'FC': 22, 'FD': 4, 'FF': 11, 'FS': 31, 'FT': 1, 'G': 1, 'I': 4, 'PE': 28, 'RB': 10}",mei,BOT,Provável,0
380,101317,Jô,0.0,{},ata,AVA,Nulo,1
381,90843,Elias,0.0,{},gol,CHA,Nulo,0
382,101421,Igor Campos,0.0,{},gol,CHA,Nulo,0
383,101422,Bruno Silva,0.0,{'PE': 1},ata,ATL,Nulo,0
384,90768,Fabrício Bruno,2.0,"{'CA': 2, 'FC': 3, 'FF': 1, 'FS': 7, 'PE': 15, 'RB': 9, 'SG': 5}",zag,CRU,Provável,1
385,101319,Guga,0.0,"{'A': 4, 'FC': 9, 'FF': 3, 'FS': 7, 'I': 2, 'PE': 41, 'RB': 25}",lat,ATL,Dúvida,0
386,90846,Klaus,0.0,"{'CA': 1, 'FC': 9, 'FD': 1, 'FS': 3, 'PE': 21, 'RB': 5, 'SG': 3}",zag,INT,Dúvida,0
387,90933,Jean,0.0,{'CA': 1},gol,SAO,Nulo,0
388,101483,Isaque,0.0,{},ata,GRE,Nulo,1
389,90917,Carlos Eduardo,0.0,"{'CA': 2, 'FC': 2, 'FF': 1, 'FS': 6, 'I': 1, 'PE': 2, 'RB': 1}",ata,PAL,Nulo,1
390,101573,Pepê,0.0,{},mei,FLA,Nulo,0
391,101574,Hugo Souza,0.0,{},gol,FLA,Nulo,0
392,101375,Matheus Prado,0.0,{},mei,CSA,Nulo,1
393,101512,Joelson,0.0,{},mei,CSA,Nulo,1
394,90943,Zé Marcos,0.0,"{'FC': 2, 'PE': 2, 'RB': 1}",zag,AVA,Nulo,1
395,101484,Thonny Anderson,5.4,"{'A': 4, 'CA': 3, 'FC': 20, 'FD': 12, 'FF': 6, 'FS': 13, 'FT': 2, 'G': 2, 'I': 3, 'PE': 23, 'RB': 12}",mei,ATL,Dúvida,0
396,91102,Flávio,11.1,"{'CA': 2, 'FC': 28, 'FD': 1, 'FF': 5, 'FS': 13, 'I': 1, 'PE': 20, 'RB': 33}",mei,BAH,Provável,0
397,101580,Lucas Lourenço,0.0,{},mei,SAN,Nulo,1
398,101579,Robson Bambu,0.0,"{'FC': 7, 'FD': 1, 'FF': 2, 'FS': 1, 'PE': 6, 'RB': 3, 'SG': 2}",zag,ATL,Contundido,0
399,91130,Fernandinho,0.0,{},ata,BAH,Nulo,0
400,101491,Ricardo,0.2,"{'CA': 3, 'FC': 15, 'FD': 1, 'FF': 2, 'FS': 3, 'I': 3, 'PE': 35, 'RB': 12, 'SG': 7}",zag,AVA,Provável,1
401,101594,Hugo Moura,0.0,"{'A': 1, 'CA': 1, 'FC': 1, 'PE': 3, 'RB': 2}",mei,FLA,Nulo,0
402,91151,Everaldo ,0.0,"{'A': 1, 'CA': 2, 'FC': 15, 'FD': 2, 'FF': 8, 'FS': 15, 'G': 1, 'I': 3, 'PE': 7, 'RB': 8}",ata,COR,Contundido,0
403,91242,Leandro Barcia,1.7,"{'A': 1, 'CA': 5, 'FC': 35, 'FD': 9, 'FF': 16, 'FS': 25, 'FT': 1, 'G': 4, 'I': 3, 'PE': 31, 'RB': 20}",ata,GOI,Provável,1
404,101597,Ramon,0.0,{},lat,FLA,Nulo,0
405,101592,Matheus Dantas,0.0,"{'FS': 1, 'I': 1, 'PE': 2}",zag,FLA,Nulo,0
406,99459,Jean,0.0,{},mei,AVA,Nulo,1
407,86519,Everton Felipe,0.4,"{'CA': 1, 'FC': 3, 'FD': 1, 'FF': 3, 'FS': 10, 'PE': 12, 'RB': 3}",mei,ATL,Nulo,0
408,86444,Pablo Dyego,0.0,"{'FC': 2, 'FS': 1, 'PE': 1, 'RB': 2}",ata,FLU,Contundido,0
409,86410,Victor Luis,0.0,"{'FC': 5, 'FF': 1, 'PE': 3, 'RB': 2}",lat,PAL,Nulo,1
410,91201,Pepê,15.4,"{'A': 1, 'CA': 1, 'FC': 10, 'FD': 6, 'FF': 12, 'FS': 14, 'G': 5, 'I': 7, 'PE': 29, 'RB': 10}",ata,GRE,Dúvida,1
411,101596,Vitor Gabriel,0.0,{},ata,FLA,Nulo,0
412,101601,Caio,0.0,"{'CA': 1, 'FC': 2, 'FF': 1, 'PE': 1}",mei,FLU,Nulo,0
413,86711,Richard,1.4,"{'CA': 4, 'FC': 21, 'FD': 2, 'FF': 4, 'FS': 21, 'PE': 24, 'RB': 28}",mei,VAS,Provável,1
414,86686,Tchê Tchê,3.1,"{'CA': 5, 'FC': 29, 'FD': 8, 'FF': 12, 'FS': 31, 'G': 1, 'I': 1, 'PE': 51, 'RB': 28}",mei,SAO,Provável,0
415,91251,Rodriguez,0.0,"{'A': 1, 'FC': 2, 'FF': 1, 'FS': 1, 'I': 2, 'PE': 11, 'RB': 14, 'SG': 3}",zag,GRE,Nulo,1
416,86766,Matheus Rossetto,0.0,"{'CA': 2, 'FC': 11, 'FS': 3, 'PE': 15, 'RB': 9}",mei,ATL,Nulo,0
417,86740,João Lucas,6.2,"{'CA': 1, 'FC': 10, 'FD': 5, 'FF': 4, 'FS': 8, 'G': 1, 'GC': 1, 'I': 4, 'PE': 44, 'RB': 24, 'SG': 4}",lat,CEA,Provável,0
418,101606,Evanilson,0.0,{},ata,FLU,Nulo,0
419,91733,Felipe,6.0,"{'A': 1, 'CA': 8, 'FC': 42, 'FD': 2, 'FF': 3, 'FS': 19, 'PE': 70, 'RB': 61}",mei,FOR,Provável,1
420,101708,Felipe Jonatan,0.0,"{'FC': 11, 'FD': 7, 'FF': 6, 'FS': 8, 'G': 2, 'I': 1, 'PE': 28, 'RB': 8, 'SG': 6}",lat,SAN,Nulo,1
421,86770,João Paulo,-2.3,"{'CA': 5, 'FC': 34, 'FD': 6, 'FF': 10, 'FS': 30, 'G': 2, 'PE': 56, 'RB': 32}",mei,AVA,Nulo,1
422,86749,Felipe Ferreira,1.9,"{'FC': 1, 'FD': 1, 'FF': 1, 'FS': 2, 'PE': 2}",mei,VAS,Nulo,1
423,86797,Raniel,0.0,"{'A': 1, 'CA': 2, 'CV': 1, 'FC': 11, 'FD': 6, 'FF': 8, 'FS': 13, 'FT': 1, 'G': 1, 'GC': 1, 'I': 3, 'PE': 12, 'RB': 5}",ata,SAO,Nulo,0
424,101622,Lucas Barcelos,0.0,{},ata,FLU,Nulo,0
425,86776,Jordi,-2.0,"{'CA': 4, 'DD': 57, 'DP': 2, 'FC': 3, 'FS': 3, 'GS': 33, 'PE': 15, 'SG': 8}",gol,CSA,Dúvida,1
426,86759,Luan,9.8,"{'A': 6, 'FC': 11, 'FD': 8, 'FF': 14, 'FS': 34, 'FT': 1, 'G': 4, 'I': 3, 'PE': 53, 'RB': 16}",ata,GRE,Provável,1
427,86757,Everton,0.0,"{'A': 4, 'CA': 3, 'FC': 11, 'FD': 8, 'FF': 15, 'FS': 12, 'FT': 1, 'G': 8, 'PE': 30, 'RB': 24}",ata,GRE,Dúvida,1
428,101647,Ulisses,0.0,{},zag,VAS,Nulo,1
429,101626,Xandão,0.0,{},zag,BAH,Nulo,0
430,86842,Ewandro,0.0,"{'CA': 1, 'FC': 1}",ata,FLU,Nulo,0
431,86859,José Welison,0.0,"{'CA': 2, 'FC': 9, 'FF': 5, 'FS': 5, 'PE': 14, 'RB': 16}",mei,ATL,Provável,0
432,101679,Ricardo Verza,0.0,{},ata,GOI,Nulo,1
433,86973,Leonardo,0.0,"{'CA': 2, 'FC': 9, 'FD': 4, 'FF': 3, 'FS': 1, 'PE': 18, 'RB': 7, 'SG': 4}",lat,GRE,Contundido,1
434,91260,Lucas Perri,0.0,{},gol,SAO,Nulo,0
435,86972,Emerson Santos,0.0,"{'CA': 3, 'FC': 13, 'FD': 2, 'FS': 3, 'G': 1, 'I': 1, 'PE': 22, 'RB': 13, 'SG': 4}",zag,INT,Nulo,0
436,86890,Willian Popp,-1.8,"{'FC': 2, 'I': 1, 'PE': 1}",ata,CEA,Provável,0
437,86932,Gustavo,-2.5,"{'CA': 1, 'FC': 14, 'FD': 4, 'FF': 5, 'FS': 10, 'G': 1, 'I': 2, 'PE': 2, 'RB': 2}",ata,COR,Nulo,0
438,101715,Alerrandro,1.2,"{'A': 1, 'FC': 5, 'FD': 6, 'FF': 9, 'FS': 9, 'FT': 2, 'G': 2, 'I': 3, 'PE': 8, 'RB': 8}",ata,ATL,Nulo,0
439,93787,Andrey,5.9,"{'CA': 1, 'FC': 13, 'FD': 3, 'FF': 5, 'FS': 9, 'FT': 1, 'G': 1, 'PE': 21, 'RB': 20}",mei,VAS,Dúvida,1
440,91508,Leonardo Valencia,0.4,"{'A': 1, 'CA': 2, 'FC': 4, 'FD': 2, 'FF': 6, 'FS': 4, 'G': 1, 'I': 1, 'PE': 17, 'RB': 3}",mei,BOT,Provável,0
441,101716,Bruninho,0.0,"{'FC': 5, 'FD': 5, 'FF': 4, 'FS': 6, 'G': 1, 'PE': 6, 'RB': 4}",mei,ATL,Provável,0
442,91573,Arboleda,6.8,"{'A': 1, 'CA': 5, 'FC': 19, 'FD': 4, 'FF': 5, 'FS': 11, 'I': 1, 'PE': 31, 'RB': 15, 'SG': 5}",zag,SAO,Provável,0
443,91607,Rony,2.7,"{'A': 3, 'CA': 5, 'FC': 39, 'FD': 14, 'FF': 27, 'FS': 40, 'FT': 1, 'G': 4, 'I': 8, 'PE': 36, 'RB': 18}",ata,ATL,Provável,0
